wav_id,situation,f2_f1_ratio,f3_f2_ratio,f4_f3_ratio,formant_roughness_gender_z,pitch_mean_gender_z,pitch_std_gender_z,pitch_median_gender_z,gender
5e258fd1305bcf3ad153a6a4,angry,2.1766214663661985,1.6642114022783583,1.323111135304848,1.9382799388265917,0.4543325492172975,-0.1100161416966665,0.9426963950420809,male
5e258fe2305bcf3ad153a6a5,angry,2.086664987162392,1.6675469837890502,1.3599809067630817,0.4926049817876444,0.40269736202965795,-0.43975881174078907,0.697644500719558,male
5e258ff5305bcf3ad153a6a6,angry,1.939805085856177,1.55685393296745,1.3535792819537829,-0.5159320487576491,0.4705827875635055,-0.46384843060888825,0.7609298835573322,male
5e25902f305bcf3ad153a6a9,angry,2.0582587858877783,1.5851017031822072,1.3238996191677206,1.0808234440890527,0.303769424475217,-0.4284422982475526,0.47293092283084015,male
5e27ec9f5807b852d9e01542,sadness,2.0215561982611203,1.4630720699353656,1.3003180656448938,-0.2777588751680786,0.5359199281496623,-0.3102065216625174,0.7449711935423688,male
5e27f90b5807b852d9e0157b,sadness,3.3532692610284944,1.8750187310318336,1.3915465866658134,-1.0319063602555876,-0.5836732622253181,-0.22205442526427788,-0.858278850369918,male
5e27fa1c5807b852d9e01586,sadness,2.595004403838394,1.6736332539137837,1.358378515961055,-0.5551006580427069,-0.4670047602515018,-0.153255473273225,-0.8516076933763722,male
5e27fb575807b852d9e01595,angry,2.9343257994765755,1.6865229380268116,1.410816139478385,-0.13314816187985923,-0.01645309251733501,-0.0764050659543882,0.26686766334389894,male
5e27fbdc5807b852d9e0159d,angry,2.5820826892321294,1.7370294605528185,1.3993263614285094,-0.8713237125788755,0.12217080294316139,-0.02518284496191904,0.3471569926456196,male
5e27fbee5807b852d9e0159e,angry,2.4574551114973007,1.8227360943740916,1.4227602112232443,0.6632845913544958,0.39233744190640846,-0.1175679559691392,0.3745444420677462,male
5e27fc015807b852d9e0159f,angry,2.5098499030449237,1.7342165072775628,1.3640324277913058,1.0992360257555607,0.05983829479427962,-0.056666473496344835,0.13289508209530035,male
5e27fc205807b852d9e015a2,angry,2.2617805890717655,1.7549056179011744,1.414963427155601,1.75650731519338,0.10897068397766864,-0.06673892924528937,0.1515324608343093,male
5e27fc345807b852d9e015a3,angry,2.1899623003653046,1.7444894117853718,1.4227388707999817,1.1606116246040106,0.06500325938053138,-0.1745317663657366,0.29332219569732276,male
5e2840225807b852d9e01618,sadness,1.9583873637245772,1.5410773636353607,1.3072912176164382,-0.9639272609102261,-0.29670789501512485,-0.37783083459279027,-0.27443245764163793,male
5e2840415807b852d9e01619,sadness,2.106268882227225,1.5290062931864183,1.3430103497498107,-0.5137581326869061,-0.3552287266736637,-0.4126922047418632,-0.2943657716022617,male
5e28405b5807b852d9e0161a,sadness,1.975415490024694,1.4340750127685842,1.299444558682997,-1.368738477177153,-0.3559269766604171,-0.38441388883377065,-0.323809150144711,male
5e2841675807b852d9e0161e,angry,2.2409655287150225,1.475161388204454,1.3010425237817653,-1.1362772032055752,-0.20884963420894206,-0.4540269597309532,-0.10088441479939814,male
5e2841be5807b852d9e01622,angry,2.174135000291365,1.5024318871993703,1.309494890707228,-1.285626060475887,-0.3487624945814672,-0.4201434521997829,-0.20796797971510483,male
5e2842de5807b852d9e0162b,sadness,2.2497588496863736,1.5162255778080198,1.3286187015335054,-0.46618277536292885,-0.27171297378931564,-0.3887235894952144,-0.25926491419636716,male
5e2843095807b852d9e0162e,sadness,2.3535529560615633,1.4899627441879606,1.3418153662931505,-0.6134960846647213,-0.3513597827614683,-0.4553491715973217,-0.28442789937602275,male
5e2843255807b852d9e0162f,sadness,2.2487947869008633,1.4677926491357838,1.3161363739929417,-0.960987002607873,-0.24484951527035967,-0.49903116460862024,-0.08428039797131863,male
5e28447c5807b852d9e0163a,sadness,1.8997502676027744,1.3492680124062892,1.256499297358072,-0.15279005865466863,-0.14957063294592232,-0.5302525238630723,-0.004826017744674679,male
5e2844915807b852d9e0163b,sadness,1.9338453670112246,1.5157313324298411,1.3016676493974297,-0.5467868605507262,-0.19964806571288085,-0.4639728170949588,-0.06751576155495054,male
5e2845945807b852d9e01643,sadness,2.2549381604012497,1.4788728981249322,1.3158673390714735,-1.250778289435742,-0.2884508365245611,-0.4826659226860984,-0.14987338590954166,male
5e2845b55807b852d9e01645,sadness,2.016261250264396,1.5248951734300653,1.3034070017500339,0.058593188035444395,-0.32051090880352207,-0.5189314503144721,-0.23862830917377784,male
5e2846b45807b852d9e0164d,angry,2.1936719585573528,1.4844001237524578,1.327985284578019,-0.6161571619994508,-0.24116705265171817,-0.42566000177348035,-0.18182718446234228,male
5e2846c55807b852d9e0164e,angry,2.6710472257869866,1.4046432623095122,1.3470725722985397,-0.17648727852871746,-0.33661677014756713,-0.3554062069311494,-0.10639779461917064,male
5e28482c5807b852d9e01659,angry,2.1395696230856083,1.4178318186584165,1.2965042535984506,-0.11100185439286692,-0.12686571671237004,-0.35089865015674493,-0.016241251026336317,male
5e28483f5807b852d9e0165a,angry,2.146673768719644,1.4454086332694536,1.317175583477933,-0.03131199860776871,-0.136603633569971,-0.229667045922956,-0.28439911462194994,male
5e2870915807b852d9e016e4,angry,2.417467436823395,1.6668231644769038,1.4035730919407103,0.9802663225422771,-0.15014309580753887,-0.37705345073693486,-0.07312551355641794,male
5e2873255807b852d9e016fb,sadness,2.8422983421254426,1.6278045065524158,1.350655394668577,0.054207021074650766,-0.09950587029486017,-0.037304796501291475,-0.15522981050816242,male
5e2873465807b852d9e016fc,sadness,2.7402127823389613,1.6051036545457704,1.358261499915592,0.03183538888637427,-0.05185448231126676,0.09249638784685017,-0.14448593185888634,male
5e2873785807b852d9e016fe,sadness,2.590692839196417,1.6809076069021291,1.3476927146741549,1.3327707390473509,-0.3678781424574845,-0.39343285213709694,-0.254267529729429,male
5e2874275807b852d9e01702,angry,2.7033584527401886,1.689399305535584,1.3929481569319375,0.03477323119059479,0.1073689019659983,-0.09261397883788178,0.13908364170090995,male
5e2874405807b852d9e01703,angry,3.110950034268482,1.548459817394676,1.3144591712869667,1.0286055039872908,-0.19622910790422832,-0.4050285323567107,-0.016374278308926377,male
5e2874565807b852d9e01704,angry,3.024856904569357,1.6000331426121521,1.3530567912817293,-0.09121912132681068,-0.29773847106548945,-0.335040229634803,-0.17123738283294224,male
5e2874745807b852d9e01705,angry,2.9333689082997805,1.5815567421672523,1.3184085455992114,1.1610112408185096,-0.6182016830080239,-0.30921740371291756,-0.8845814546132493,male
5e2874965807b852d9e01706,angry,2.1400088278828067,1.5136310374972826,1.2852052131547234,4.825961919137962,-0.7686492584488692,-0.4107638419406019,-0.8649115843265347,male
5e2875925807b852d9e01712,angry,3.0469635960989123,1.6104342197748662,1.3901897914193735,-0.827099168139883,-0.3309968376947404,-0.2993239972057961,-0.21840600099475463,male
5e2875aa5807b852d9e01713,angry,2.7111034658705027,1.6591025533710357,1.4097110662159358,-0.6002376249039248,-0.2870958214661147,-0.20633081881817864,-0.2440973707510964,male
5e2875c35807b852d9e01714,angry,2.623202315615692,1.6789254655512287,1.3891329647682182,-0.36225813990809214,-0.5927543803283093,-0.3225217236496446,-0.8516076933763722,male
5e2876435807b852d9e01718,sadness,2.63219134664508,1.5973703738521858,1.386192987357737,-0.13518932752029492,-0.3407689642022854,-0.32497609774102776,-0.17123738283294224,male
5e28765a5807b852d9e01719,sadness,2.6361911812557905,1.553122776745197,1.4034581745067782,-0.26330973289160703,-0.26679140213717234,-0.19580557075976676,-0.1063660398880762,male
5e2876795807b852d9e0171a,sadness,2.747087232730955,1.6079005728832605,1.3865481661946504,-0.5898635432680813,-0.33643025372113683,-0.19848080714515395,-0.14448593185888634,male
5e28769b5807b852d9e0171b,sadness,2.628024762194779,1.581541896124499,1.3754295133921959,-0.11253925643110288,-0.40443618540717946,-0.24113679371292754,-0.27443245764163793,male
5e2876b55807b852d9e0171c,sadness,2.6866802771424263,1.548939202620835,1.3995879601146621,0.20378642909530031,-0.1717712076459423,-0.06068987218835209,-0.08428039797131863,male
5e2878915807b852d9e01734,angry,2.787205569760306,1.5213086207672013,1.3598661400670826,-0.5736637592587297,-0.07413084360146491,-0.10925232852814223,0.17664686268746266,male
5e28bb4a5807b852d9e01750,angry,2.4324910890302203,1.5683260132210026,1.4100322770753537,0.16311611036177406,-0.2234346032503408,-0.12337204287970774,-0.45481548587302917,male
