wav_id,situation,n_pauses,pause_dur_mean,pause_dur_std,total_pause_ratio,longest_pause_dur,n_frames
5e258fe2305bcf3ad153a6a5,angry,0,0.0,0.0,0.0,0.0,318
5e258fd1305bcf3ad153a6a4,angry,0,0.0,0.0,0.0,0.0,327
5e258ff5305bcf3ad153a6a6,angry,0,0.0,0.0,0.0,0.0,339
5e25902f305bcf3ad153a6a9,angry,0,0.0,0.0,0.0,0.0,318
5e27fb575807b852d9e01595,angry,6,0.445,0.3163726705432482,0.5066413662239089,1.06,527
5e2841675807b852d9e0161e,angry,2,0.5700000000000001,0.32,0.28571428571428575,0.89,399
5e2841be5807b852d9e01622,angry,3,0.86,0.40099875311526845,0.5903890160183066,1.4000000000000001,437
5e2846c55807b852d9e0164e,angry,0,0.0,0.0,0.0,0.0,177
5e2846b45807b852d9e0164d,angry,0,0.0,0.0,0.0,0.0,361
5e28482c5807b852d9e01659,angry,3,0.2866666666666667,0.09533566430716728,0.24157303370786515,0.39,356
5e28483f5807b852d9e0165a,angry,2,0.16,0.0,0.0955223880597015,0.16,335
5e28bb4a5807b852d9e01750,angry,2,0.54,0.16000000000000003,0.46351931330472107,0.7000000000000001,233
5e29758c5807b852d9e0188f,angry,2,0.395,0.15500000000000003,0.26245847176079734,0.55,301
5e2875925807b852d9e01712,angry,3,0.9666666666666667,0.7014429572119334,0.42335766423357657,1.93,685
5e2875c35807b852d9e01714,angry,5,0.682,0.5590134166547347,0.6739130434782609,1.6,506
5e29813c5807b852d9e01944,angry,3,1.05,0.8473881440441957,0.5147058823529412,2.19,612
5e29841e5807b852d9e01987,angry,5,0.6079999999999999,0.36168494577463406,0.5914396887159533,1.23,514
5e2875aa5807b852d9e01713,angry,5,0.754,0.2380420130985285,0.4896103896103896,1.03,770
5e2984895807b852d9e01990,angry,5,0.59,0.5507812632978721,0.5462962962962962,1.67,540
5e2991785807b852d9e01a62,angry,2,0.805,0.3350000000000001,0.3752913752913753,1.1400000000000001,429
5e2992895807b852d9e01a7c,angry,3,0.5166666666666666,0.46312945154555746,0.2963671128107074,1.17,523
5e29ac765807b852d9e01c2e,angry,2,1.295,0.32500000000000007,0.4683544303797468,1.62,553
5e29ac5b5807b852d9e01c2c,angry,3,1.8166666666666667,1.4987624524549876,0.7808022922636103,3.79,698
5e29ac965807b852d9e01c30,angry,4,0.9624999999999999,0.6729180856538186,0.5052493438320209,1.94,762
5e29b2345807b852d9e01c7f,angry,3,0.9566666666666667,0.6422010761609032,0.6029411764705883,1.77,476
5e29b2545807b852d9e01c80,angry,3,1.2266666666666666,0.588179866669674,0.6133333333333333,1.96,600
5e29b2805807b852d9e01c81,angry,4,0.7675000000000001,0.7812289997177525,0.6342975206611571,2.1,484
