wav_id,situation,f1_mean,f2_mean,f3_mean,f4_mean,formant_roughness_mean,formant_roughness_std,melodic_dissonance_mean,melodic_dissonance_std,pitch_class_entropy,n_valid_formant_frames,n_voiced_pitch_frames
5e258fe2305bcf3ad153a6a5,angry,715.9767529438606,1494.003621990172,2491.3212336196275,3388.1493103361404,0.001001178690082773,0.0043358471022041595,0.06022017926557462,0.05486858998379694,2.6318901013654195,314,47
5e25902f305bcf3ad153a6a9,angry,796.465541589864,1639.3321986342053,2598.508260136511,3440.1640959989036,0.0012771028412541562,0.004699978830911417,0.050301271637859954,0.05155457675931702,2.372248377922573,314,33
5e258fd1305bcf3ad153a6a4,angry,721.1378372706636,1569.6440968122208,2612.219603433813,3456.256845164892,0.0016793223747097598,0.005371482434828724,0.05331027061071252,0.05352200314147465,2.959514274591866,327,45
5e258ff5305bcf3ad153a6a6,angry,853.0812351215707,1654.811318537292,2576.2995095838346,3487.2256402803696,0.0005280896221379378,0.0023996949283585913,0.06439333835786726,0.05482149399080972,2.1169094021874666,335,37
5e2841675807b852d9e0161e,angry,866.9850234351563,1942.8835514303712,2866.0667968476264,3728.874778697756,0.00023709533830565548,0.0010195246584189116,0.057982398972064884,0.05504309806003385,2.6569179505339897,388,42
5e27fb575807b852d9e01595,angry,470.51491304775794,1380.6440483945137,2328.4878568675467,3285.0682490481704,0.0007076476024427393,0.003089196765239221,0.07807007750753642,0.06895629224858336,3.2825542828010894,521,82
5e2846c55807b852d9e0164e,angry,740.4578909024974,1977.797995307199,2778.1006283175175,3742.303159491868,0.0006873178954711716,0.003198617023218182,0.06453564195164765,0.05265600626334829,2.83256087505669,169,21
5e2846b45807b852d9e0164d,angry,852.9607738349044,1871.1161313110101,2777.4850168732833,3688.459230543651,0.00048107557706852363,0.002645656840818915,0.04972833955823442,0.04955892157233862,2.374038702181553,347,33
5e28482c5807b852d9e01659,angry,963.78835449417,2062.09228635939,2923.700056610426,3790.5895596414484,0.000718036091561256,0.0033101459935715527,0.0625005531848396,0.05855762481081252,2.9056390622295662,340,32
5e28483f5807b852d9e0165a,angry,931.14935866766,1998.8739030119855,2889.189596230532,3805.5699921933247,0.0007554173660769242,0.003101405983650054,0.05988680582565625,0.052022793112345984,2.5480894169080637,331,34
5e2841be5807b852d9e01622,angry,863.4919310391642,1877.3480297414244,2820.5875432544276,3693.5449766841252,0.00016703810734167575,0.0005349456297255551,0.05654328406157222,0.05024318109038291,2.9223788129352557,420,50
5e28bb4a5807b852d9e01750,angry,590.2758401785865,1435.840721304238,2251.8663540634443,3175.204242889453,0.0008466205743566889,0.003592202450245413,0.05541801151907872,0.05444309146280686,2.6292750707107135,229,25
5e29758c5807b852d9e0188f,angry,618.8938318625709,1681.5201738330038,2477.4500575693182,3348.5258654382965,0.0003730821250062816,0.001959328719011428,0.09011331536909081,0.06780866081102627,2.8838159557751104,301,41
