dur_n_voiced_frames,dur_speaking_rate_proxy,dur_total_sec,dur_voiced_sec,energy_mean,energy_range,energy_std,envmod_bandwidth,envmod_centroid,envmod_dominant_freq,envmod_entropy,envmod_high_rate_energy,envmod_low_rate_energy,error,f0dyn_deriv_energy,f0dyn_mean,f0dyn_range,f0dyn_std,situation,wav_id
43,13.80555834253035,3.1146875,2.7520000000000024,0.03247523947632154,0.13802100149022728,0.03245846493885149,3.5919811782730107,3.347745958073737,0.3225806451612903,4.545609106179267,3.309173412806822,15.108715973642713,,32.31423522500699,238.3236695521455,253.2539212592103,60.72645013689603,angry,5f787514d338b948c4e68c98
44,13.935626905261492,3.157375,2.8160000000000025,0.0315242549383389,0.15583003209353935,0.03453951449187751,3.9783630049025565,1.9905872446004846,0.3184713375796178,3.4542209143691327,4.0845320190925385,26.551940393418434,,57.21931791618423,264.18062554520515,505.3489894412055,146.67090043220514,angry,5e37da38c8c25f16cd1457bb
46,11.23046875,4.096,2.9440000000000026,0.0008901834762080964,0.006303254622639722,0.0011041757108598595,3.2943850188375663,2.1859652130430804,0.24509803921568626,4.177963717704275,0.004994868417647913,0.03402640285191787,,27.19055860130094,209.52259453642827,120.66287573273078,41.57939901499945,angry,5e340d7a5807b852d9e06327
58,12.586805555555557,4.608,3.7120000000000033,0.001191441393743735,0.007151314031290938,0.0013368434892926506,2.396496357946294,1.7676064882235396,0.8714596949891068,4.054801630471219,0.006156782561783533,0.08991787665947705,,50.26287427682542,170.37568439423092,215.06354315590266,61.65125491413623,angry,5f9933c89e04b149046ce2b8
80,14.88095238095238,5.376,5.1200000000000045,0.023021041737601278,0.12959381480304524,0.025107639820238066,3.0594149605640704,2.7675100615807544,1.1194029850746268,4.726091869308561,6.326906933523073,28.28728687071275,,63.97969386984096,213.28884583479584,546.2849112674766,129.3080892552983,angry,5e3939c8ee8206179943d374
86,14.194493444330972,6.0586875,5.504000000000005,0.038387523064739144,0.1402017663941523,0.03786380742473203,3.102079853039527,2.2568479308882514,0.49668874172185434,4.588621685249788,17.275827494898923,102.64970894513517,,40.02848776987913,120.28133236531873,133.18461302324906,38.59786594266072,angry,5e38437133e9ad176cc9b765
55,11.40753415778694,4.821375,3.520000000000003,0.0021127423421689775,0.011347084416901153,0.0021491113061263612,3.5347196631384215,2.984087545287066,1.663201663201663,4.7175105375869,0.053183525230295854,0.1835841417968701,,53.06046938595936,222.0865080759464,266.78615831959917,75.46240864517078,angry,5f62c6603bd6941613f6d652
68,14.621494133931812,4.6506875,4.352000000000004,0.0010896454349341414,0.016976275906775997,0.0024898232555300845,4.578414751105997,3.6842279745447635,0.21551724137931036,4.959404379853625,0.11792710539863359,0.349180378699845,,52.1622936621832,127.46410972346533,233.66157229922914,86.86478624638028,angry,5fb9c89d4c55eb78bd7cdfda
52,9.908536585365853,5.248,3.328000000000003,0.0006314114676636498,0.0039644860309732185,0.0008419938102245156,2.5738318987993773,1.789117694109201,0.5736137667304015,4.248796936472656,0.0031690918439603727,0.04739299201821625,,17.94017454967846,139.4708790771694,130.90826859169485,29.471044447254364,angry,5fbb34ba44697678c497b5a1
88,13.221153846153847,6.656,5.632000000000005,0.003922520935994835,0.011505613899283125,0.0026708804469044185,3.4416232339057102,2.366330598554053,0.4518072289156626,4.703548291195776,0.09767133308529742,0.6108194745071113,,30.93197781662353,153.61987821627037,215.2753675911423,49.73605115858125,angry,5e33aa755807b852d9e0510d
