error,fft_resolution_hz,h1_peak_bin_index,h1_welch_dominant_freq,h1_zero_pad_freq_std,h3_peak_bin_index,h3_welch_dominant_freq,h3_zero_pad_freq_std,n_valid_envelope_frames,relative_hmc,situation,track_full_continuity_ratio,track_h1_valid_ratio,track_h5_valid_ratio,track_overall_valid_ratio,utterance_duration_sec,wav_id
,0.32105949633791514,7,3.2679738562091476,0.0669673051909926,5,1.9607843137254886,0.07075370945951291,262,-0.23523716672652642,angry,0.8562091503267973,0.8562091503267973,0.8562091503267973,0.8562091503267973,3.1146875,5f787514d338b948c4e68c98
,0.3167187933013975,1,0.6410256410256404,0.01734826530016903,6,1.9230769230769211,0.05665919721046042,262,-0.24660994811806242,angry,0.8397435897435898,0.8397435897435898,0.8397435897435898,0.8397435897435898,3.157375,5e37da38c8c25f16cd1457bb
,0.244140625,1,0.9803921568627443,0.3672479195691435,5,0.9803921568627443,0.030637254901960786,265,-0.24904802939011822,angry,0.6617647058823529,0.6617647058823529,0.6617647058823529,0.6617647058823529,4.096,5e340d7a5807b852d9e06327
,0.2170138888888889,4,0.4366812227074232,0.040278320963368815,3,0.4366812227074232,0.011792284909918816,351,-0.23814011397464988,angry,0.7647058823529411,0.7647058823529411,0.7647058823529411,0.7647058823529411,4.608,5f9933c89e04b149046ce2b8
,0.16505224935268573,3,0.33333333333333304,0.034153325647406224,3,0.33333333333333304,0.034153325647406224,521,-0.24641800310341638,angry,0.8683333333333333,0.8683333333333333,0.8683333333333333,0.8683333333333333,6.0586875,5e38437133e9ad176cc9b765
,0.18601190476190474,6,1.1194029850746259,0.040392975922781606,6,1.1194029850746259,0.019336665055710096,488,-0.2443329192022763,angry,0.9104477611940298,0.9104477611940298,0.9104477611940298,0.9104477611940298,5.376,5e3939c8ee8206179943d374
,0.20740971195976252,8,1.673640167364015,0.04287028323942207,1,3.34728033472803,0.0,340,-0.24278944976911507,angry,0.7112970711297071,0.7112970711297071,0.7112970711297071,0.7112970711297071,4.821375,5f62c6603bd6941613f6d652
,0.11322463768115941,1,0.2267573696145173,0.24092970521542467,8,0.9070294784580692,0.01417233560090736,755,-0.24345387020815293,angry,0.8560090702947846,0.8560090702947846,0.8560090702947846,0.8560090702947846,8.832,5e49d4617bef803b4851dd80
,0.1502403846153846,2,0.3012048192771082,0.027842995967148017,6,0.6024096385542164,0.015609115165452759,536,-0.2471638550438489,angry,0.8072289156626506,0.8072289156626506,0.8072289156626506,0.8072289156626506,6.656,5e33aa755807b852d9e0510d
,0.21502197255782074,1,0.8733624454148464,0.03851344124109732,1,0.8733624454148464,0.022580506470284555,400,-0.23669366822127952,angry,0.8845315904139434,0.8845315904139434,0.8845315904139434,0.8845315904139434,4.6506875,5fb9c89d4c55eb78bd7cdfda
