coh_adjacent_mean,coh_all_pairs_mean,coh_all_pairs_std,coh_distant_mean,coh_low_vs_high,error,situation,wav_id
0.6227415531993895,0.4026832698344758,0.25876426175929446,0.2559777475912,0.09050700993649496,,angry,5f787514d338b948c4e68c98
0.5009623233386999,0.48488414900536714,0.13865837480231227,0.4741653661164786,0.7249830475895189,,angry,5e37da38c8c25f16cd1457bb
0.6586824329876595,0.5804722683666551,0.10797863610580137,0.5283321586193187,0.5699876858484705,,angry,5e340d7a5807b852d9e06327
0.5068177941941355,0.407875628770789,0.24026113910378327,0.3419141851552247,0.21283178606624825,,angry,5f9933c89e04b149046ce2b8
0.710854746128318,0.6389400513545043,0.10291974189427089,0.5909969215052951,0.6028896321300468,,angry,5e38437133e9ad176cc9b765
0.4413377833684343,0.35633586390808175,0.14591550103205048,0.29966791760118006,0.40096323618174634,,angry,5f62c6603bd6941613f6d652
0.35110256567461406,0.2438033753909517,0.14993294829606546,0.17227058186851008,0.2833962519827164,,angry,5e49d4617bef803b4851dd80
0.4850030790769081,0.3987897462560044,0.1490124999577378,0.34131419104206867,0.49343375733395695,,angry,5e3939c8ee8206179943d374
0.5181816699490833,0.29573772134030435,0.21770294858774564,0.14744175560111836,0.1291410299889872,,angry,5e33aa755807b852d9e0510d
0.42007436371728674,0.39153868914226025,0.14975510946498116,0.3725149060922426,0.4228002003122917,,angry,5f886f09d338b948c4e69afe
0.6714007310874954,0.5185938955711502,0.20820278430965267,0.41672267189358664,0.46852476427717915,,angry,5fbb34ba44697678c497b5a1
0.7503812456164373,0.6422136525912492,0.16272662737034188,0.5701019239077905,0.6277743498388071,,angry,5fb9c89d4c55eb78bd7cdfda
0.4871054408438667,0.42843981580670104,0.13868322590733603,0.3893293991152574,0.4281264778135634,,angry,5f8c2b2dd338b948c4e69f68
0.39357469999859057,0.37140241338404684,0.2491288767264352,0.356620888974351,0.48350426406869607,,angry,5e36cf777995ef170fc0ecdb
0.6778098858657693,0.5756137956645369,0.1473559410763439,0.507483068863715,0.48044379276596016,,angry,5e350b015807b852d9e07421
0.777744709794181,0.645087184258485,0.16812904801837592,0.5566488339013543,0.5332779031339815,,angry,5e40fb219306c7039ddcc959
0.3788709656696167,0.3178875123380577,0.14097228106153672,0.27723187678368505,0.30384073080290025,,angry,5f886972f8fac448cc0a7200
0.5692382470144047,0.3897514366669941,0.20281588625847238,0.2700935631020537,0.30910249116744537,,angry,5fb33fff0fb0f33aa31ca1b7
0.4960082223176373,0.4098238540510278,0.13091778550801542,0.35236760853995475,0.47930125725896244,,angry,5e37fa06c8c25f16cd1459c5
