wav_id,situation,spectral_centroid_mean,spectral_centroid_std,spectral_rolloff_mean,spectral_rolloff_std,spectral_flatness_mean,spectral_flatness_std,zcr_mean,zcr_std,spectral_flux_mean,spectral_flux_std
5e25902f305bcf3ad153a6a9,angry,2541.901229799649,1531.8482645113297,5521.127491694352,2887.9340463391827,0.019399434328079224,0.12964661419391632,0.02462170369601329,0.029118696783522014,0.19272905588150024,0.1610916405916214
5e258fd1305bcf3ad153a6a4,angry,2556.506664857279,1474.6772980593528,5516.459344660194,2679.3523286976815,0.004829603713005781,0.05848277732729912,0.028716942253236247,0.03757524064634813,0.19229035079479218,0.11466941237449646
5e258fe2305bcf3ad153a6a5,angry,2655.926827600944,1552.489437150422,5603.0419435215945,2569.9786590432195,0.019906722009181976,0.13063417375087738,0.03655133928571429,0.03673848089289171,0.2263728380203247,0.13690991699695587
5e258ff5305bcf3ad153a6a6,angry,2871.733413294771,1605.5161811803887,6001.1682242990655,2560.355607882442,0.019223688170313835,0.12713722884655,0.039467119353582554,0.040990986018915966,0.2257743775844574,0.1577652245759964
5e2841675807b852d9e0161e,angry,1911.7329704719614,1546.853386974016,3647.29774535809,3726.863163619937,0.01631615124642849,0.11835995316505432,0.010086828580901857,0.0275642304490476,0.10538148134946823,0.11994647979736328
5e2846c55807b852d9e0164e,angry,1373.022353614136,1676.9282426773987,2136.140902366864,3270.720202851599,0.03678829222917557,0.17720246315002441,0.008459689349112426,0.02011318075823116,0.10739846527576447,0.13341639935970306
5e27fb575807b852d9e01595,angry,2602.6899606486168,1868.696439982812,6298.604124748491,5295.817337479507,0.01577886752784252,0.11577662825584412,0.04011274679325956,0.048975054819345824,0.3758593499660492,0.1567171812057495
5e2846b45807b852d9e0164d,angry,1524.7119670358868,1317.8974140029695,2612.5595674486804,3091.076361198816,0.017788968980312347,0.12360241264104843,0.00700776667888563,0.017376536932637167,0.10392313450574875,0.12821735441684723
5e28483f5807b852d9e0165a,angry,1729.2181525731764,1373.514255250696,3048.205835962145,3105.0071717182836,0.017876338213682175,0.12586306035518646,0.008262273264984228,0.015733768176812046,0.12448595464229584,0.1400870978832245
5e28482c5807b852d9e01659,angry,1660.3428394749574,1263.6482343007242,2983.447700296736,2874.485001803583,0.017323367297649384,0.12312585860490799,0.008029835867952521,0.018681362907561585,0.09825708717107773,0.12623697519302368
5e2841be5807b852d9e01622,angry,2289.2021656087577,1780.6668532215097,4661.622276029056,3831.439287786759,0.016669301316142082,0.11861636489629745,0.01544884042070218,0.03544913215163424,0.13024663925170898,0.13307583332061768
5e28bb4a5807b852d9e01750,angry,3341.7444187710757,2374.4031798398705,6873.444570135746,5472.247922816029,0.02895435504615307,0.1456940770149231,0.07352720234728506,0.07435968241791359,0.3862863779067993,0.1443212628364563
5e29758c5807b852d9e0188f,angry,4324.568864369709,2214.5811764520968,8939.391447368422,4429.057003971072,0.020135080441832542,0.06352899968624115,0.06879625822368421,0.06417442043370156,0.38552066683769226,0.17425815761089325
5e2875c35807b852d9e01714,angry,2541.386714049586,1655.9243488968386,4748.034591194969,2966.389403126488,0.00645614555105567,0.0668022558093071,0.05555862650681342,0.06680496448717826,0.4369944930076599,0.10623075067996979
5e2875925807b852d9e01712,angry,2197.8620745832695,1141.4901099547071,3959.6656976744184,2085.7484768629565,0.0010584101546555758,0.0013591630849987268,0.043737130571705425,0.037887330196955046,0.3655250370502472,0.1577492356300354
5e2875aa5807b852d9e01713,angry,2160.9585692302153,1300.6330838089182,3744.407327586207,2294.976407644206,0.0015338772209361196,0.010088687762618065,0.04273168103448276,0.0488312266590685,0.3973723351955414,0.13460411131381989
5e29813c5807b852d9e01944,angry,3646.521079686585,2082.9781047284323,7329.844562391681,4580.112560396255,0.014181089587509632,0.04443379119038582,0.07571321219670711,0.060897096201363826,0.3771561086177826,0.1661815494298935
5e29841e5807b852d9e01987,angry,3943.8139658182304,2122.0230786062903,7984.165592783505,4840.941396761744,0.015828043222427368,0.053854990750551224,0.0808483005798969,0.07067430655091703,0.3587586283683777,0.18426674604415894
5e2984895807b852d9e01990,angry,4457.7832692700995,2341.089207919367,8766.776154223968,4827.21693021121,0.0198967307806015,0.06503239274024963,0.10413724828094302,0.09562729360804233,0.3824290335178375,0.1801016479730606
5e2991785807b852d9e01a62,angry,4049.090216085316,2536.9993233563987,7965.68287037037,5187.929050639505,0.020840739831328392,0.03188871964812279,0.10060402199074074,0.09201764575140632,0.4290439486503601,0.1420281082391739
5e2992895807b852d9e01a7c,angry,3144.4016704483074,2633.934246792216,5862.5602180527385,5303.845193160946,0.017446033656597137,0.053413696587085724,0.08126465834178499,0.09786712926493893,0.36288440227508545,0.17603667080402374
5e29ac765807b852d9e01c2e,angry,4978.035523027195,3484.1509007209565,8838.051823416507,6389.956604722539,0.0265217088162899,0.10869330912828445,0.1561187919865643,0.15217608873649324,0.41654539108276367,0.16200163960456848
5e29ac5b5807b852d9e01c2c,angry,7339.746589853606,3173.333705865957,12881.34988584475,5206.767333536167,0.0340646393597126,0.1034211665391922,0.2630111717560883,0.14560658204289403,0.46235692501068115,0.12321891635656357
5e29b2345807b852d9e01c7f,angry,3796.015115881807,1924.7054648866792,8562.56959910913,4751.1812917545,0.012881293892860413,0.10156367719173431,0.046645540437082404,0.06580803633224705,0.3394309878349304,0.18367093801498413
5e29ac965807b852d9e01c30,angry,5054.308209067729,3403.9799602956614,9226.202928870292,6123.475187201571,0.01976022683084011,0.08297014236450195,0.161830162569735,0.15289002601516805,0.41202592849731445,0.15703895688056946
