wav_id,situation,gender,raw_roughness_mean,raw_roughness_std,source_roughness_mean,source_roughness_std,source_roughness_norm_mean,source_roughness_norm_std,n_valid_frames_raw,n_valid_frames_source,existing_partial_roughness_mean,existing_formant_roughness_mean,error
5f787514d338b948c4e68c98,angry,female,5.993214683236531e-06,7.724947188816439e-06,9.41626162718839e-05,0.0003044329126992825,0.0010899662510012063,0.0034610792085848652,237,237,0.009673808960333428,0.001022194943722718,
5e37da38c8c25f16cd1457bb,angry,female,6.150302691849523e-06,5.078653627526169e-06,0.00023022363854021462,0.00040798113457673487,0.0029646730682788666,0.006238070956999518,212,212,0.01166906125224416,0.00042543480867427336,
5e340d7a5807b852d9e06327,angry,female,3.6718353513168614e-07,4.2638284810938233e-07,0.00014481515948591272,0.00020178256312803266,0.001725702105885415,0.0027718755227079984,267,267,0.007451424797636147,0.0005694540049400614,
5f9933c89e04b149046ce2b8,angry,female,9.391859758183285e-07,1.3442599295099977e-06,0.0002641548899492504,0.0004084836084812366,0.0021953128033239924,0.003519919118690755,317,317,0.00803572466777477,0.00017635090581366873,
5e38437133e9ad176cc9b765,angry,male,6.728587039847465e-05,8.098179704741714e-05,0.0005811991705263625,0.0007099689352926262,0.0037195293265914107,0.0037503178972349066,528,528,0.007737248598330681,0.0005391961602308871,
5f62c6603bd6941613f6d652,angry,female,3.843251360705103e-07,4.7484830019253506e-07,0.00019823185121347597,0.0005023519244753977,0.001301732463489229,0.003199426629107255,317,317,0.009151233396635575,0.0010020904060001785,
5e3939c8ee8206179943d374,angry,female,6.152707829202681e-06,6.2826829452784505e-06,0.00011305339853738491,0.00016155253514094173,0.0014441032502983656,0.0021955119207140135,440,440,0.005274074584476604,0.001127950831767838,
5e49d4617bef803b4851dd80,angry,female,5.665710482320564e-07,8.537227698636032e-07,2.76445579707376e-05,2.769102836084765e-05,0.0003234758329619254,0.0005558949663162283,664,664,0.009725175171663457,0.0014127067975730919,
5e33aa755807b852d9e0510d,angry,male,4.4993889062763765e-06,4.63373422946684e-06,0.00028807807381535453,0.0004259513042217784,0.002901249960181882,0.003207036763710762,542,542,0.008105334922456704,0.0012632201434172074,
5fbb34ba44697678c497b5a1,angry,male,1.1880329008163113e-06,1.3100957799091406e-06,0.00031385174275782354,0.00039343244438070507,0.0025381852587313646,0.0028419719413698037,284,284,0.008529309237851886,0.0005431166889522416,
5fb9c89d4c55eb78bd7cdfda,angry,female,5.144430293350561e-07,2.3328211867244668e-06,0.0015294674136780717,0.0009964771985956579,0.019298651700073385,0.027600693805923084,263,263,0.011914476629930478,0.0004760805872856692,
5f886f09d338b948c4e69afe,angry,female,3.13205459591772e-07,4.5253252471967634e-07,0.00014376083533805325,0.0003931101541713578,0.0013999168264161182,0.004097992065873874,705,705,0.008274804420188837,0.0009267326831435606,
5f8c2b2dd338b948c4e69f68,angry,female,4.357365812826172e-07,6.676794014537637e-07,4.797485993147916e-05,4.914767637653707e-05,0.0007482506162080522,0.0013522437121480306,594,594,0.007714554731383218,0.0009625698093068795,
5e36cf777995ef170fc0ecdb,angry,female,8.444501578005181e-06,1.0309225337503035e-05,0.00033493533102468685,0.0007479505672673194,0.001727185880879616,0.00317851864990637,223,224,0.009795896755224475,0.0006726215259599046,
5e350b015807b852d9e07421,angry,female,1.0738027671982276e-05,6.96769950972711e-06,0.0010808822653744533,0.0007829229227168438,0.01015150289713086,0.009102521522530473,684,684,0.006988833244840095,0.0005614430529888131,
5e40fb219306c7039ddcc959,angry,male,9.607578087992197e-06,9.908807718393447e-06,0.00021628964010675595,0.0002453614645061874,0.002366436382432774,0.002650571915834826,402,402,0.005835940504536631,0.0019494312112468886,
5fb33fff0fb0f33aa31ca1b7,angry,female,6.282806908466294e-07,1.2281881806980215e-06,0.0004325591853342647,0.0007454928299808904,0.002829643517593551,0.0047203121020839775,630,630,0.010123139133556277,0.000993680872725908,
5e37fa06c8c25f16cd1459c5,angry,female,1.2063092468833068e-05,1.1778271823576404e-05,0.0002454852628463191,0.0003924326647071321,0.0019339672417523904,0.0023127281300963786,540,540,0.01173071924356928,0.0004810795740241827,
5e3638b7bacf60088a5adbe7,angry,male,3.864384826929542e-05,4.4251455735343886e-05,0.0005402102153509946,0.000586599953142674,0.00902460505753447,0.009485385318277147,381,381,0.010006813406772936,0.001491909501517835,
5e396ebf33e9ad176cc9bc11,angry,female,1.47445795910284e-05,2.2583460501216343e-05,5.156647059012158e-05,5.755541066847038e-05,0.00048450346873348037,0.0007330906722309712,342,342,0.0058980720792726,0.0011788392721681384,
5f886972f8fac448cc0a7200,angry,female,2.867286863215928e-07,3.7937643893710134e-07,5.358180363145448e-05,0.00018095511664617268,0.0006880503716627066,0.0023288041811869078,391,391,0.009326847764035579,0.001001122337481878,
5e411a8748600202f726fb49,angry,female,1.5188516155469344e-05,1.8897963564831225e-05,0.00043967955269221296,0.0010339991461283402,0.002618108571810947,0.005596115260786367,287,287,0.0042816722610061,0.001247356669709019,
