wav_id,situation,bw1_mean,bw2_mean,bw3_mean,bw4_mean,bw_overall_mean,bw_overall_std,n_valid_frames
5e258fe2305bcf3ad153a6a5,angry,154.96080451783783,125.72408600271878,202.46951597113926,156.66412625151332,159.95725510367822,105.67726862169702,314
5e258fd1305bcf3ad153a6a4,angry,155.59834439998681,139.04438175040562,190.4481291968122,156.72278411322904,160.43614283995294,102.79804656091295,327
5e25902f305bcf3ad153a6a9,angry,130.2977432054071,137.9994113427271,197.76996563286048,187.4994001500407,163.33390996288506,102.06098391234977,314
5e258ff5305bcf3ad153a6a6,angry,161.42813679035729,147.9731365828369,207.40070419946846,185.96839933199288,175.67723427832257,100.2393269531195,335
5e2841675807b852d9e0161e,angry,193.16535970349776,226.46102544659013,214.21330111758306,231.00330681163956,216.04313622405172,102.98599214037172,388
5e2846c55807b852d9e0164e,angry,173.63688006496002,208.42101359799346,170.3721758836754,205.07601166041167,189.31624067559207,113.86364312874974,169
5e27fb575807b852d9e01595,angry,143.2395377251942,160.66308500193747,188.71121488402636,178.0014111725129,167.62892619549302,95.66541090091555,521
5e2846b45807b852d9e0164d,angry,193.950679022626,205.34974607630204,190.43124566813754,202.78020320549922,198.10508844448597,104.79025978122675,347
5e2841be5807b852d9e01622,angry,200.69958634332696,212.28600129715286,211.89286336980186,233.78976908546912,214.55573682411335,95.75409523370449,420
5e28482c5807b852d9e01659,angry,215.3636695752262,213.62611502990433,201.2426128175702,195.7572588729449,206.66571617058463,99.46811472074768,340
5e28483f5807b852d9e0165a,angry,197.42337351903888,212.12543972115594,200.23850288807932,200.20234993240706,202.51832531099814,99.35385902886762,331
5e28bb4a5807b852d9e01750,angry,162.86068027688611,151.47611743679815,209.12958632722834,170.70472253410864,173.5521021227574,99.73148026973267,229
5e29758c5807b852d9e0188f,angry,143.58956922911648,155.33216208341253,188.86025382485187,190.34183409487972,169.4789709297467,93.90347177973103,301
5e2875c35807b852d9e01714,angry,169.98201344781268,180.39489291720784,210.35336492468096,157.9909371402978,179.68030210749984,86.40853855100016,505
5e2875925807b852d9e01712,angry,135.20569535716146,177.5302266460857,196.05086113956216,151.13774064576148,164.98618512395956,86.93208939394671,685
5e2875aa5807b852d9e01713,angry,127.46338936898324,153.32756558577117,210.3695916968114,156.1715316284557,161.83669824962953,89.33873405514905,770
5e29813c5807b852d9e01944,angry,160.78173570630935,183.7116713370227,189.48499344537794,207.44836712305246,185.31712462039954,92.12634647214335,612
5e29841e5807b852d9e01987,angry,177.2190732910033,183.93154575386308,208.2425281591012,206.0063049852066,193.81428321723135,96.31940200779086,514
5e2984895807b852d9e01990,angry,166.60776980957093,170.67989748199327,192.87729117426773,216.15293816283236,186.46613513287187,97.07844885398619,538
5e2991785807b852d9e01a62,angry,135.02980699928807,190.65605210864922,175.80537466559375,185.07360418588473,171.6176851558854,101.77236848170182,429
5e2992895807b852d9e01a7c,angry,115.5708347939313,166.82367240526366,172.78794283157185,170.05174609419538,156.30854903124055,99.51938283402352,523
5e29ac765807b852d9e01c2e,angry,126.91850474421143,193.37175309785317,183.7726354391299,196.4362886488576,175.10533293167617,100.99725918784436,548
5e29ac5b5807b852d9e01c2c,angry,158.17742722710258,223.8583240558032,213.62216048391898,230.5194029768452,206.51574581519722,90.94851524769017,692
5e29b2345807b852d9e01c7f,angry,177.14248302455928,188.24762786254712,211.7123407304617,198.6500034365542,193.90606837800118,100.03978896994718,472
